CPU 6 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,10.5,1.8,0.0,87.7,0.0
2024-11-01 20:38:37,5.2,2.1,0.0,92.8,0.0
2024-11-01 20:38:39,7.6,1.0,0.0,91.4,0.0
2024-11-01 20:38:41,10.5,3.5,0.0,86.0,0.0
2024-11-01 20:38:43,13.1,2.5,0.0,84.3,0.0
2024-11-01 20:38:45,12.6,1.0,0.0,86.4,0.0
2024-11-01 20:38:47,5.5,6.5,0.0,88.1,0.0
2024-11-01 20:38:49,3.0,1.0,0.0,96.0,0.0
2024-11-01 20:38:51,6.6,1.5,0.0,91.8,0.0
2024-11-01 20:38:53,5.1,0.0,0.0,94.9,0.0
2024-11-01 20:38:55,4.0,1.0,0.0,95.0,0.0
2024-11-01 20:38:57,44.2,2.5,0.0,53.3,0.0
2024-11-01 20:38:59,24.1,0.0,0.0,75.9,0.0
2024-11-01 20:39:01,8.5,1.0,0.0,90.5,0.0
2024-11-01 20:39:03,4.0,2.0,0.0,94.1,0.0
