JFS Filespace %Used sonikx-3-0,/dev,/run,/,/snap/bare/5,/snap/chatgpt-desktop/8,/snap/core/17200,/snap/core18/2829,/snap/core18/2846,/snap/core20/2379,/boot/efi,/snap/core22/1621,/snap/core24/490,/snap/dbeaver-ce/327,/snap/discord/212,/snap/dmidecode-tool/3,/snap/firefox/5091,/snap/firefox/5134,/snap/firmware-updater/127,/snap/firmware-updater/147,/snap/gnome-3-28-1804/198,/snap/gnome-3-38-2004/143,/snap/gnome-42-2204/172,/snap/gnome-42-2204/176,/snap/gnome-46-2404/42,/snap/gnome-46-2404/48,/snap/gtk-common-themes/1535,/snap/intellij-idea-community/535,/snap/intellij-idea-community/537,/snap/kdf/104,/snap/kdf/105,/snap/kf5-5-111-qt-5-15-11-core22/7,/snap/kf5-5-113-qt-5-15-11-core22/1,/snap/kf6-core22/38,/snap/kf6-core22/39,/snap/libreoffice/324,/snap/libreoffice/326,/snap/mesa-2404/143,/snap/ngrok/207,/snap/obs-studio/1302,/snap/postman/286,/snap/qt-common-themes/10,/snap/qt-common-themes/8,/snap/snap-store/1173,/snap/pygpt/264,/snap/snap-store/1216,/snap/snapd/21465,/snap/snapd/21759,/snap/snapd-desktop-integration/247,/snap/snapd-desktop-integration/253,/var/snap/firefox/common/host-hunspell,/snap/zoom-client/230,/snap/core20/2434,/snap/dbeaver-ce/328
2024-11-01 20:38:35,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:37,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:39,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:41,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:43,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:45,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:47,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:49,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:51,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:53,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:55,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:57,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:38:59,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:39:01,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
2024-11-01 20:39:03,0.0,0.1,88.2,100.0,100.0,100.0,100.0,100.0,100.0,33.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.2,100.0,100.0,100.0
