Memory MB sonikx-3-0,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
2024-11-01 20:38:35,64150.9,-0.0,-0.0,8192.0,1000.2,-0.0,-0.0,31.2,1179.7,25713.2,30194.6,-1.0,427.9,61.2,28740.2
2024-11-01 20:38:37,64150.9,-0.0,-0.0,8192.0,995.2,-0.0,-0.0,31.2,1179.7,25713.4,30195.5,-1.0,428.0,61.2,28740.2
2024-11-01 20:38:39,64150.9,-0.0,-0.0,8192.0,985.3,-0.0,-0.0,31.2,1179.7,25713.4,30200.6,-1.0,428.0,61.2,28740.3
2024-11-01 20:38:41,64150.9,-0.0,-0.0,8192.0,976.3,-0.0,-0.0,31.2,1179.7,25713.5,30204.2,-1.0,428.1,61.2,28740.4
2024-11-01 20:38:43,64150.9,-0.0,-0.0,8192.0,1011.8,-0.0,-0.0,31.2,1179.7,25713.6,30174.7,-1.0,428.1,61.2,28740.6
2024-11-01 20:38:45,64150.9,-0.0,-0.0,8192.0,1013.7,-0.0,-0.0,31.2,1179.7,25713.6,30168.8,-1.0,428.2,61.2,28740.6
2024-11-01 20:38:47,64150.9,-0.0,-0.0,8192.0,1010.4,-0.0,-0.0,31.2,1179.7,25713.6,30172.6,-1.0,428.2,61.2,28740.7
2024-11-01 20:38:49,64150.9,-0.0,-0.0,8192.0,1010.8,-0.0,-0.0,31.2,1179.8,25713.7,30175.4,-1.0,428.2,61.2,28740.8
2024-11-01 20:38:51,64150.9,-0.0,-0.0,8192.0,1008.4,-0.0,-0.0,31.2,1179.7,25713.8,30180.4,-1.0,428.3,61.2,28741.0
2024-11-01 20:38:53,64150.9,-0.0,-0.0,8192.0,1014.5,-0.0,-0.0,31.2,1179.7,25713.8,30183.0,-1.0,428.4,61.2,28741.0
2024-11-01 20:38:55,64150.9,-0.0,-0.0,8192.0,1019.8,-0.0,-0.0,31.2,1179.7,25713.8,30184.2,-1.0,428.4,61.2,28741.1
2024-11-01 20:38:57,64150.9,-0.0,-0.0,8192.0,1016.0,-0.0,-0.0,31.2,1179.7,25713.8,30187.7,-1.0,428.5,61.2,28741.2
2024-11-01 20:38:59,64150.9,-0.0,-0.0,8192.0,1004.7,-0.0,-0.0,31.2,1179.7,25713.8,30186.7,-1.0,428.6,61.2,28741.3
2024-11-01 20:39:01,64150.9,-0.0,-0.0,8192.0,999.4,-0.0,-0.0,31.5,1179.7,25714.0,30188.7,-1.0,428.7,61.2,28741.4
2024-11-01 20:39:03,64150.9,-0.0,-0.0,8192.0,934.2,-0.0,-0.0,31.5,1179.5,25713.9,30251.4,-1.0,428.7,61.2,28741.6
