CPU 1 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,8.6,6.0,0.0,85.3,0.0
2024-11-01 20:38:37,11.7,2.6,0.0,85.7,0.0
2024-11-01 20:38:39,11.2,4.1,0.0,84.7,0.0
2024-11-01 20:38:41,9.1,3.5,0.0,87.4,0.0
2024-11-01 20:38:43,8.2,2.1,0.0,89.7,0.0
2024-11-01 20:38:45,4.6,1.5,0.0,93.9,0.0
2024-11-01 20:38:47,6.5,2.0,0.0,91.5,0.0
2024-11-01 20:38:49,8.2,2.0,0.0,89.8,0.0
2024-11-01 20:38:51,4.6,5.2,0.0,90.2,0.0
2024-11-01 20:38:53,6.6,2.6,0.0,90.8,0.0
2024-11-01 20:38:55,10.2,3.0,0.0,86.8,0.0
2024-11-01 20:38:57,3.0,0.5,0.0,96.5,0.0
2024-11-01 20:38:59,4.5,1.5,0.0,93.9,0.0
2024-11-01 20:39:01,12.5,2.0,0.0,85.5,0.0
2024-11-01 20:39:03,9.5,2.0,0.0,88.4,0.0
