CPU Total sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
2024-11-01 20:38:35,7.7,4.0,0.1,88.2,0.0,,16
2024-11-01 20:38:37,7.9,3.1,0.0,89.0,0.0,,16
2024-11-01 20:38:39,9.5,3.2,0.0,87.3,0.0,,16
2024-11-01 20:38:41,8.8,3.5,0.0,87.8,0.0,,16
2024-11-01 20:38:43,7.7,2.9,0.0,89.4,0.0,,16
2024-11-01 20:38:45,5.0,2.5,0.0,92.6,0.0,,16
2024-11-01 20:38:47,7.4,4.3,0.0,88.2,0.0,,16
2024-11-01 20:38:49,6.7,2.6,0.0,90.7,0.0,,16
2024-11-01 20:38:51,5.7,3.8,0.1,90.4,0.0,,16
2024-11-01 20:38:53,6.6,3.3,0.0,90.1,0.0,,16
2024-11-01 20:38:55,6.7,3.2,0.0,90.1,0.0,,16
2024-11-01 20:38:57,7.6,1.9,0.0,90.5,0.0,,16
2024-11-01 20:38:59,8.2,1.4,0.0,90.4,0.0,,16
2024-11-01 20:39:01,8.2,2.0,0.0,89.7,0.0,,16
2024-11-01 20:39:03,7.9,2.2,0.0,89.8,0.0,,16
